year,pbi,consumo
1950,40920,30156
1951,44711,33508
1952,47347,34356
1953,50085,36175
1954,52762,38076
1955,55858,41149
1956,58484,42263
1957,62371,44707
1958,61706,44274
1959,63653,44719
1960,69946,46682
1961,75085,48688
1962,82620,54666
1963,86196,59612
1964,91840,63353
1965,97003,67778
1966,104995,74505
1967,109040,79682
1968,109206,78662
1969,113044,81410
1970,116849,83297
1971,122213,87096
1972,126463,89075
1973,134401,95745
1974,147017,104616
1975,153340,108208
1976,155559,109208
1977,156102,106956
1978,151977,98306
1979,158194,97732
1980,167596,104622
1981,176901,112440
1982,176507,109726
1983,158136,103589
1984,163842,106445
1985,167219,108307
1986,182981,124563
1987,200778,138641
1988,181822,127082
1989,159436,106319
1990,151492,105735
1991,154854,109665
1992,154017,108852
1993,162093,113680
1994,182044,124433
1995,195536,136275
1996,201009,139501
1997,214028,144555
1998,213190,141698
1999,216377,139666
2000,222207,143191
2001,223580,144629
2002,235773,151674
2003,245593,155487
2004,257770,160769
2005,273971,166654
2006,294598,177006
2007,319693,192316
2008,348870,209437
2009,352693,215885
2010,382081,235492
2011,406256,252507
2012,431199,271305
2013,456435,286857
2014,467308,298045
2015,482506,309917
2016,501581,321383
2017,514215,329870
2018,534665,342501
2019,546605,353615
